,trial,name,params,2009,2010,loss
279,99,with_threshold,"{'N_bins': 18, 't_lm': 0.14742524681855712}",8,7,32
280,99,sing.link.,{'eps': 0.1409030026696484},9,8,30
281,99,only_threshold,{'t_lm': 0.716167494224085},21,12,36
282,99,without_threshold,{'N_bins': 28},11,12,26
283,99,with_threshold,"{'N_bins': 50, 't_lm': 0.5716646904049242}",8,7,32
284,99,sing.link.,{'eps': 0.171164342901176},14,5,36
285,99,only_threshold,{'t_lm': 0.7260977703398416},21,12,36
286,99,without_threshold,{'N_bins': 38},13,16,24
287,99,with_threshold,"{'N_bins': 26, 't_lm': 0.6960290391559021}",8,7,32
288,99,sing.link.,{'eps': 0.20095246063414157},12,5,34
289,99,only_threshold,{'t_lm': 0.6585497885486388},22,11,38
290,99,without_threshold,{'N_bins': 13},8,8,31
291,99,with_threshold,"{'N_bins': 11, 't_lm': 0.8987905751489734}",8,7,32
292,99,sing.link.,{'eps': 0.4281910801728651},9,7,31
293,99,only_threshold,{'t_lm': 0.3544917831720662},25,11,41
294,99,without_threshold,{'N_bins': 40},11,19,19
295,99,with_threshold,"{'N_bins': 36, 't_lm': 0.39106496353987974}",9,7,31
296,99,sing.link.,{'eps': 0.2394671150369023},13,5,35
297,99,only_threshold,{'t_lm': 0.7263720341012051},21,12,36
298,99,without_threshold,{'N_bins': 32},11,13,25
299,99,with_threshold,"{'N_bins': 40, 't_lm': 0.8723735258331025}",8,7,32
300,99,sing.link.,{'eps': 0.3238753372302977},12,7,32
301,99,only_threshold,{'t_lm': 0.7857561828593921},21,12,36
302,99,without_threshold,{'N_bins': 49},14,18,23
303,99,with_threshold,"{'N_bins': 15, 't_lm': 0.6446111066175583}",8,7,32
304,99,sing.link.,{'eps': 0.11007332041351542},3,9,35
305,99,only_threshold,{'t_lm': 0.6883884514660056},21,12,36
306,99,without_threshold,{'N_bins': 46},14,18,23
307,99,with_threshold,"{'N_bins': 13, 't_lm': 0.21465511207112922}",7,7,33
308,99,sing.link.,{'eps': 0.3642803904521197},12,8,31
309,99,only_threshold,{'t_lm': 0.158968549596245},28,18,37
310,99,without_threshold,{'N_bins': 20},9,9,29
311,99,with_threshold,"{'N_bins': 4, 't_lm': 0.7552387927852563}",8,7,32
312,99,sing.link.,{'eps': 0.4557255546004343},8,6,33
313,99,only_threshold,{'t_lm': 0.111953310765871},32,23,36
314,99,without_threshold,{'N_bins': 17},8,10,29
315,99,with_threshold,"{'N_bins': 26, 't_lm': 0.2633538550400818}",9,7,31
316,99,sing.link.,{'eps': 0.2666440288193833},15,7,35
